Setting,Sterilization,Nutrients,Container_type,Container_size,Substrate,Reference
Incubator,,,Petri,,Filter paper,"Temel, F., et al. (2011). ""Germination of Anatolian Black Pine (Pinus nigra subsp pallasiana) Seeds from the Lakes Region of Turkey: Geographic Variation and Effect of Storage."" Notulae Botanicae Horti Agrobotanici Cluj-Napoca 39(1): 267-274."
Incubator,,,Petri,9 cm,Filter paper,"Terui, K. O., Nobuo (1989). ""Dormancy in Dioscorea: Rapid Germination of Detached Embryos from Dormant Seeds of D. tokoro."" Plant and Cell Physiology 30(2): 287-293."
Incubator,,,Petri,,Filter paper,"Tezuka, T., et al. (2013). ""Factors Affecting Seed Germination of Ilex latifolia and I-rotunda."" Hortscience 48(3): 352-356."
Incubator,,,Petri,8 cm,Filter paper,"Thanos, C. A. G., K. (1988). ""Ecophysiology of fire-stimulated seed germination in Cistus incanus ssp. creticus (L.) Hey wood and C. salvifolius L."" Plant, Cell & Environment 11(9): 841-849."
Incubator,,,Petri,,Filter paper,"Thanos, C. A. K., C. C.; Skarou, F. (1995). ""ECOPHYSIOLOGY OF GERMINATION IN THE AROMATIC PLANTS THYME, SAVORY AND OREGANO (LABIATAE)."" Seed Science Research 5(3): 161-170."
Incubator,,,Box,5.6 × 3.5 × 2.2 cm,Filter paper,"Thomas, T. H. and I. Davies (2002). ""Responses of dormant heather (Calluna vulgaris) seeds to light, temperature, chemical and advancement treatments."" Plant Growth Regulation 37(1): 23-29."
Incubator,,,Petri,9 cm,Soil,"Thompson, A. J., et al. (1997). ""The effect of temperature on viability of imbibed weed seeds."" Annals of Applied Biology 130(1): 123-134."
Incubator,,,Petri,,Filter paper,"Thompson, K. (1989). ""A Comparative Study of Germination Responses to High Irradiance Light."" Annals of Botany 63(1): 159-162."
Incubator,,,,,Filter paper,"Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156."
Incubator,,,,,,"Thompson, P. A. (1974). ""Effects of Fluctuating Temperatures on Germination."" Journal of Experimental Botany 25(1): 164-175."
Incubator,,,,,Agar,"Thompson, P. A. (1980). ""Germination Strategy of a Woodland Grass: Milium effusum L."" Annals of Botany 46(5): 593-602."
Incubator,,,Box,,,"Thompson, P. A. and S. A. Cox (1978). ""Germination of the Bluebell (Hyacinthoides non-scripta (L.) Chouard) in Relation to its Distribution and Habitat."" Annals of Botany 42(1): 51-62."
Incubator,,,Petri,,Filter paper,"Thomson, E. F. R., S.; Cocks, P. S.; Osman, A. E.; Russi, L. (1990). ""Recovery and germination rates of seeds of Mediterranean medics and clovers offered to sheep at a single meal or continuously."" The Journal of Agricultural Science 114(03): 295-299."
Incubator,,,Petri,12 cm,Filter paper,"Tilki, F. (2005). ""Seed germination and radicle development in six provenances of Pinus sylvestris L. under water stress."" Israel Journal of Plant Sciences 53(1): 29-33."
Incubator,,,Petri,,Filter paper,"Tilki, F. (2007). ""Preliminary results on the effects of various pre-treatments on seed germination of Juniperus oxycedrus L."" Seed Science and Technology 35(3): 765-770."
Incubator,,,Petri,,Filter paper,"Tilki, F. (2008). ""Seed germination of Cistus creticus L. and Cistus laurifolius L. as influenced by dry-heat, soaking in distilled water and gibberellic acid."" Journal of Environmental Biology 29(2): 193-195."
Incubator,,,Tray,,Sand,"Tilki, F. (2010). ""Influence of acorn size and storage duration on moisture content, germination and survival of Quercus petraea (Mattuschka)."" J Environ Biol 31(3): 325-328."
Incubator,,,Petri,9 cm,Filter paper,"Tipton, J. L. (1992). ""REQUIREMENTS FOR SEED-GERMINATION OF MEXICAN REDBUD, EVERGREEN SUMAC, AND MEALY SAGE."" Hortscience 27(4): 313-316."
Incubator,,,Petri,,Filter paper,"Tisdale, E. W. H., M.; Pringle, W. L. (1959). ""Observations on the Autecology of Hypericum Perforatum."" Ecology 40(1): 54-62."
Incubator,,,Petri,,Filter paper,"Toole, E. H., et al. (1955). ""Interaction of Temperature and Light in Germination of Seeds."" Plant Physiol 30(5): 473-478."
,,,,,,"Toole, V. K., et al. (1962). ""Responses of Seeds of Pinus taeda & P. strobus to Light."" Plant Physiol 37(2): 228-233."
Incubator,,,Petri,11 cm,Filter paper,"Topacoglu, O., et al. (2016). ""EFFECTS OF WATER STRESS ON GERMINATION OF PINUS NIGRA ARNOLD. SEEDS."" Pakistan Journal of Botany 48(2): 447-453."
Incubator,l’hypochlorite de sodium a` 16 % pendant 30 secondes,,Petri,8.5 cm,Filter paper,"Toumi, M., et al. (2017). ""[Effect of several methods of scarification and osmotic stress on seed germination of Robinia pseudoacacia L.]."" C R Biol 340(5): 264-270."
Incubator,,,Petri,10 cm,Filter paper,"Trueblood, C., et al. (2010). ""Evaluating Fertility of Triploid Clones of Hypericum androsaemum L. for Use as Non-invasive Landscape Plants."" Hortscience 45(8): S280-S281."
Incubator,,,Petri,,Filter paper,"Tsuyuzaki, S. and C. Miyoshi (2009). ""Effects of smoke, heat, darkness and cold stratification on seed germination of 40 species in a cool temperate zone in northern Japan."" Plant Biol (Stuttg) 11(3): 369-378."
Incubator,,,,,Sand and peat 1:1,"Tylkowski, T. (2007). ""Stratification conditions determining seed dormancy release of european bladder nut (Staphylea pinnata L.)."" Acta Societatis Botanicorum Poloniae 76(2): 95-101."
Incubator,,,,,Sand and peat 1:1,"Tylkowski, T. (2009). ""Improving seed germination and seedling emergence in the Juniperus communis."" Dendrobiology 61: 47-53."
Incubator,,,Petri,8.5 cm,Filter paper,"Valbuena, L. and M. L. Vera (2002). ""The effects of thermal scarification and seed storage on germination of four heathland species."" Plant Ecology 161(1): 137-144."
Incubator,,,Tray,36 x 24 cm,Soil,"Valbuena, L. and R. Tarrega (1998). ""The influence of heat and mechanical scarification on the germination capacity of Quercus pyrenaica seeds."" New Forests 16(2): 177-183."
Incubator,,,Petri,,Filter paper,"Van Assche, J. A. and F. E. A. Vandelook (2006). ""Germination ecology of eleven species of <I>Geraniaceae</I> and <I>Malvaceae</I>, with special reference to the effects of drying seeds."" Seed Science Research 16(4): 283-290."
Incubator,,,Petri,,Filter paper,"Van Assche, J. A., et al. (2003). ""Seasonal cycles in the germination capacity of buried seeds of some Leguminosae (Fabaceae)."" New Phytologist 158(2): 315-323."
Incubator,,,Petri,,Filter paper,"Van Assche, J., et al. (2002). ""The comparative germination ecology of nine Rumex species."" Plant Ecology 159(2): 131-142."
Incubator,,,Tray,10 x 10 x 10 cm,Filter paper,"van der Vegte, F. W. (1978). ""Population differentiation and germination ecology in Stellaria media (L.) Vill."" Oecologia 37(2): 231-245."
Incubator,,,Petri,,Cotton wool,"van Tooren, B. F. P., T. L. (1988). ""Effects of Temperature and Light on the Germination in Chalk Grassland Species."" Functional Ecology 2(3): 303-310."
Incubator,,,Petri,9 cm,Filter paper,"Vandelook, F. and J. A. Van Assche (2010). ""A combined physical and physiological dormancy controls seasonal seedling emergence of Geranium robertianum."" Plant Biol (Stuttg) 12(5): 765-771."
Incubator,,,Petri,,Filter paper,"Vandelook, F. V. A., J. A. (2008). ""Deep complex morphophysiological dormancy in Sanicula europaea (Apiaceae) fits a recurring pattern of dormancy types in genera with an Arcto-Tertiary distribution."" Botany 86(12): 1370-1377."
Incubator,,,Petri,10 cm,Filter paper,"Vandelook, F., et al. (2007). ""Multiple environmental signals required for embryo growth and germination of seeds of Selinum carvifolia (L.) L. and Angelica sylvestris L. (Apiaceae)."" Seed Science Research 17(4): 283-291."
Incubator,,,Petri,,Filter paper,"Vandelook, F., et al. (2008). ""Environmental signals for seed germination reflect habitat adaptations in four temperate Caryophyllaceae."" Functional Ecology 22(3): 470-478."
Incubator,,,Petri,10 cm,Filter paper,"Vandelook, F., et al. (2009). ""Morphological and physiological dormancy in seeds of Aegopodium podagraria (Apiaceae) broken successively during cold stratification."" Seed Science Research 19(2): 115-123."
Incubator,,,Petri,,Filter paper,"Vandelook, F., et al. (2009). ""The role of temperature in post-dispersal embryo growth and dormancy break in seeds of Aconitum lycoctonum L."" Flora - Morphology, Distribution, Functional Ecology of Plants 204(7): 536-542."
Incubator,,,Petri,,Filter paper,"Vanhatalo, V., et al. (1996). ""Effect of prechilling on the dormancy of Betulapendula seeds."" Canadian Journal of Forest Research 26(7): 1203-1208."
Incubator,,,Petri,,Filter paper,"Vansplunder, I. C., H.; Voesenek, Lacj; Blom, Cwpm (1995). ""ESTABLISHMENT OF ALLUVIAL FOREST SPECIES IN FLOODPLAINS - THE ROLE OF DISPERSAL TIMING, GERMINATION CHARACTERISTICS AND WATER-LEVEL FLUCTUATIONS."" Acta Botanica Neerlandica 44(3): 269-278."
Incubator,,,Petri,,,"Vasques, A., et al. (2014). ""The role of cold storage and seed source in the germination of three Mediterranean shrub species with contrasting dormancy types."" Annals of Forest Science 71(8): 863-872."
Incubator,,,Petri,,,"Vera, M. L. (1997). ""Effects of altitude and seed size on germination and seedling survival of heathland plants in North Spain."" Plant Ecology 133(1): 101-106."
Incubator,,,,,,"Voronkova, N. and A. Holina (2011). ""Biologija prorastanija i kriohranenie semjan nekotoryh pisevyh i lekarstvennyh vidov rastenij Dalnego Vostoka Rossii."" Vestnik Krasnojarskogo gosudarstvennogo agrarnogo universiteta(9)."
Incubator,,,Petri,,Filter paper,"Vranckx, G. and F. Vandelook (2012). ""A season- and gap-detection mechanism regulates seed germination of two temperate forest pioneers."" Plant Biol (Stuttg) 14(3): 481-490."
Incubator,,,Petri,9 cm,Filter paper,"Wada, S. and B. M. Reed (2011). ""Optimized scarification protocols improve germination of diverse Rubus germplasm."" Scientia Horticulturae 130(3): 660-664."
Incubator,,,Box,,Filter paper,"Wada, S. and B. M. Reed (2011). ""Standardizing germination protocols for diverse raspberry and blackberry species."" Scientia Horticulturae 132: 42-49."
Incubator,,,Petri,5.5 cm,Filter paper,"Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131."
Incubator,,,Pot,,Sand and soil 1:1,"Walbott, M., et al. (2018). ""[Beech (Fagus sylvatica) germination and seedling growth under climatic and allelopathic constraints]."" C R Biol 341(9-10): 444-453."
Incubator,,,Petri,5.5 cm,Sand,"Walck, J. L. B., Carol C.; Baskin, Jerry M. (1997). ""Comparative Achene Germination Requirements of the Rockhouse Endemic Ageratina luciae-brauniae and its Widespread Close Relative A. altissima (Asteraceae)."" American Midland Naturalist 137(1): 1-12."
Incubator,,,Petri,5.5 cm,Sand and soil 1:3,"Walck, J. L., et al. (2002). ""Seed germination ecophysiology of the Asian species Osmorhiza aristata (Apiaceae): comparison with its North American congeners and implications for evolution of types of dormancy."" Am J Bot 89(5): 829-835."
Incubator,,,Petri,10 cm,Filter paper,"Walck, J. L., et al. (2012). ""Seed germination and seedling development ecology in world-wide populations of a circumboreal Tertiary relict."" Aob Plants 2012: pls007."
Incubator,,,Box,,Kimpak,"Wang, B. (2000). ""Beneficial Effects of Moist Chilling on the Seeds of Black Spruce (Picea mariana [Mill.] B.S.P.)."" Annals of Botany 86(1): 29-36."
Incubator,potassium permanganate of 0.5% concentration for 2 hrs,,Petri,,Filter paper,"Wang, G., et al. (2017). ""EFFECTS OF LOW TEMPERATURE IN WINTER ON THE GERMINATION OF CAMELLIA JAPONICA SEEDS."" Bangladesh Journal of Botany 46(3): 1145-1152."
Incubator,,,Petri,,Filter paper,"Wang, H., et al. (2015). ""Differences in female reproductive success between female and hermaphrodite individuals in the subdioecious shrub Eurya japonica (Theaceae)."" Plant Biol (Stuttg) 17(1): 194-200."
Incubator,,,,,Perlite,"Wang, W. Q. S., S. Q.; Li, S. H.; Gan, Y. Y.; Wu, J. H.; Cheng, H. Y. (2011). ""Seed dormancy and germination in Vitis amurensis and its variation."" Seed Science Research 21(04): 255-265."
Incubator,,,Petri,,Filter paper,"Wang, Z. M. M., S. E. (1992). ""PEATLAND AND UPLAND BLACK SPRUCE POPULATIONS IN ALBERTA, CANADA - ISOZYME VARIATION AND SEED-GERMINATION ECOLOGY."" Silvae Genetica 41(2): 117-122."
Incubator,,,Petri,,,"Washitani, I. (1984). ""GERMINATION RESPONSES OF A SEED POPULATION OF TARAXACUM-OFFICINALE WEBER TO CONSTANT TEMPERATURES INCLUDING THE SUPRA-OPTIMAL RANGE."" Plant Cell and Environment 7(9): 655-659."
Incubator,,,Petri,9 cm,Filter paper,"Washitani, I. (1988). ""Effects of High Temperatures on the Permeability and Germinability of the Hard Seeds of Rhus javanica L."" Annals of Botany 62(1): 13-16."
Incubator,,,Petri,,,"Washitani, I. S., Toshiro (1986). ""Germination Responses ofPinus densifloraSeeds to Temperature, Light and Interrupted Imbibition."" Journal of Experimental Botany 37(9): 1376-1387."
Incubator,,,Petri,,Filter paper,"Webb, D. P. D., E. B. (1969). ""Factors influencing the stratification process in seeds of Acer saccharum."" Canadian Journal of Botany 47(10): 1555-1563."
Incubator,4 grams captan per litre,,Petri,,Filter paper,"Weber, J. C. S., F. C. (1990). ""EFFECTS OF STRATIFICATION AND TEMPERATURE ON SEED-GERMINATION SPEED AND UNIFORMITY IN CENTRAL OREGON PONDEROSA PINE (PINUS-PONDEROSA DOUGL EX-LAWS)."" Usda Forest Service Pacific Northwest Research Station Research Paper(429): 1-13."
Room,,,Pot,,Soil,"West, T. P., et al. (2014). ""Germination of Nonstratified Japanese Tree Lilac Seeds as Influenced by Seed Capsule Maturity and Moisture Content."" Horttechnology 24(2): 177-180."
Incubator,4ml of 3% sodium hypochlorite solution for 10 s,,Petri,9 cm,Filter paper,"White, S. N. Z., Linshan; Pruski, Kris (2017). ""Investigation of Potential Seed Dormancy Mechanisms in American Burnweed (Erechtites hieraciifolius) Seeds from Wild Blueberry (Vaccinium angustifolium) fields."" Weed Science 65(02): 256-265."
Incubator,,,,,,"Wijte, A. H. B. M. and J. L. Gallagher (1996). ""Effect of Oxygen Availability and Salinity on Early Life History Stages of Salt Marsh Plants. I. Different Germination Strategies of Spartina alterniflora and Phragmites australis (Poaceae)."" American Journal of Botany 83(10): 1337-1342."
Incubator,,,Box,11.5 x 7.7 x 4.5 cm,Filter paper,"Wille, W., et al. (2013). ""Limited evidence for allelopathic effects of giant hogweed on germination of native herbs."" Seed Science Research 23(02): 157-162."
Incubator,,,Petri,9 cm,Filter paper,"Williams, E. D. (1983). ""Germinability and enforced dormancy in seeds of species of indigenous grassland."" Annals of Applied Biology 102(3): 557-566."
Incubator,Captan 50eWP,,Vial,,,"Williams, M. I., et al. (2016). ""Can biochar be used as a seed coating to improve native plant germination and growth in arid conditions?"" Journal of Arid Environments 125: 8-15."
Incubator,,,,,Filter paper,"Winston, D. A. H., B. D. (1981). ""Effects of early cone collection and artificial ripening on white spruce and red pine germination."" Canadian Journal of Forest Research 11(4): 817-826."
Incubator,,,,,Filter paper,"Woodard, P. M. C., G. (1987). ""ENGELMANN SPRUCE, LODGEPOLE PINE AND SUBALPINE FIR SEED-GERMINATION SUCCESS ON ASHBED CONDITIONS."" Northwest Science 61(4): 233-238."
Incubator,5% hydrogen peroxide for 20 min,,Petri,9 cm,Filter paper,"Wu, A.-P., et al. (2010). ""Effects of Mikania micrantha extracts and their exposure time on seed vigour, seed germination and seedling growth of plants."" Allelopathy Journal 25(2): 503-511."
Incubator,,,Tray,,Filter paper,"Wu, L., et al. (2001). ""Effects of moist chilling and solid matrix priming on germination of loblolly pine (Pinus taeda L.) seeds."" New Forests 21(1): 1-16."
Incubator,sodium hypochlorite (1%) for 10 min,,Petri,7 cm,Filter paper,"Xia, Q., et al. (2016). ""Interaction of seed size with light quality and temperature regimes as germination cues in 10 temperate pioneer tree species."" Functional Ecology 30(6): 866-874."
Incubator,,,Petri,10 cm,Filter paper,"Xiao, C., et al. (2010). ""Seed germination of 14 wetland species in response to duration of cold-wet stratification and outdoor burial depth."" Aquatic Biology 11(2): 169-177."
Incubator,,,Petri,,Water,"Xiao, Y., et al. (2016). ""Effects of salinity and sulphide on seed germination of three coastal plants."" Flora - Morphology, Distribution, Functional Ecology of Plants 218: 86-91."
Incubator,,,Petri,9 cm,Filter paper,"Yagihashi, T., et al. (1998). ""Effects of bird ingestion on seed germination of Sorbus commixta."" Oecologia 114(2): 209-212."
Incubator,,,Petri,9 cm,Filter paper,"Yambe, Y. T., K.; Saito, T. (1995). ""LIGHT AND PHYTOCHROME INVOLVEMENT IN ROSA-MULTIFLORA SEED-GERMINATION."" Journal of the American Society for Horticultural Science 120(6): 953-955."
Incubator,,,Bag,14 × 10 cm,Moss,"Yang, J. C., et al. (2007). ""Intermediate storage behaviour and the effect of prechilling on germination of Japanese Zelkova (Zelkova serrata) seeds."" Seed Science and Technology 35(1): 99-110."
Incubator,0.2% sodium hypochlorite,,Petri,9 cm,Agar,"Yang, Q. H., et al. (2009). ""Seed germination physiology of Ardisia crenata var. bicolor."" Seed Science and Technology 37(2): 291-302."
Incubator,,,Box,,Agar,"Yasin, M. and C. Andreasen (2015). ""Breaking seed dormancy of Alliaria petiolata with phytohormones."" Plant Growth Regulation 77(3): 307-315."
Incubator,,,Box,,Filter paper,"Yasin, M. and C. Andreasen (2018). ""Hypoxia Improves Germination of the Problematic Invader Garlic Mustard (Alliaria petiolata) of North American Forests."" American Midland Naturalist 179(1): 150-156."
Incubator,,,Petri,9 cm,Filter paper,"Yazdi, S. A. F., et al. (2013). ""FACTORS AFFECTING SEED GERMINATION AND SEEDLING EMERGENCE OF SHEEP SORREL (RUMEX ACETOSELLA)."" Romanian Agricultural Research 30: 373-380."
Incubator,,,Petri,15 cm,Filter paper,"Yilmaz, M. and F. Tonguç (2012). ""Effects of temperature on the germination of Fraxinus ornus subsp. cilicica seeds."" Dendrobiology 69: 111-115."
Incubator,,,Petri,15 cm,Filter paper,"Yilmaz, M. and F. Tonguc (2013). ""DORMANCY LEVEL AND DORMANCY-BREAKING PRETREATMENTS IN SEEDS OF FRAXINUS ORNUS SUBSP CILICICA."" Propagation of Ornamental Plants 13(1): 40-45."
Incubator,,,Petri,9 cm,Filter paper,"Yoon, J.-H., et al. (2013). ""Effects of Seed Pre-treatment and Germination Environments on Germination Characteristics of Ligularia fischeri Seeds."" Protected Horticulture and Plant Factory 22(3): 262-269."
Incubator,,,,,,"Young, A. T., et al. (2010). ""The Influence of Germinations in Soaking Treatment of Rhus chinensis, Lespedeza cyrtobotrya and Lespedeza cuneata."" Journal of the Korea Society of Environmental Restoration Technology 13(2): 42-51."
Incubator,,,Petri,,Filter paper,"Young, J. A. E., Raymond A. (1977). ""Squirreltail Seed Germination."" Journal of Range Management 30(1): 33-36."
Incubator,,,Petri,,Filter paper,"Young, J. A. E., Raymond A. (1979). ""Arrowleaf Balsamroot and Mules Ear Seed Germination."" Journal of Range Management 32(1): 71-74."
Incubator,,,Petri,,Filter paper,"Young, J. A., et al. (2003). ""Germination of Seeds of Big and Bottlebrush Squirreltail."" Journal of Range Management 56(3): 277-281."
Incubator,0.1% KMnO4 for 10 min,,Petri,9 cm,Filter paper,"Yu, J., et al. (2012). ""Effects of Salinity and Water Depth on Germination ofPhragmites australisin Coastal Wetland of the Yellow River Delta."" CLEAN - Soil, Air, Water 40(10): 1154-1158."
Incubator,,,,,Peat and perlite,"Zerche, S. and A. Ewald (2005). ""Seed Potassium Concentration Decline During Maturation Is Inversely Related to Subsequent Germination of Primrose."" Journal of Plant Nutrition 28(4): 573-603."
Incubator,,,Petri,,Filter paper,"Zhang, M., et al. (2012). ""[Effects of light quality on the seed germination of main tree species in a secondary forest ecosystem of Northeast China]."" Ying Yong Sheng Tai Xue Bao 23(10): 2625-2631."
Incubator,0.5% H2O2 solution for five minutes,,Petri,9 cm,Filter paper,"Zhang, X., et al. (2018). ""Allelopathic Potential of Koelreuteria bipinnata var. integrifoliola on Germination of Three Turf Grasses."" Russian Journal of Plant Physiology 65(6): 833-841."
Incubator,,,Box,24.5 × 14 × 5 cm,Cotton wool,"Zhang, Z. and F. Yu (2019). ""Effects of Salt Stress on Seed Germination of Four Ornamental Non-Halophyte Species."" International Journal of Agriculture and Biology 21(1): 47-53."
Incubator,,,Petri,9 cm,Cotton wool,"Zhong, X., et al. (2002). ""Temperature dependence of seedling establishment of a perennial, Dioscorea tokoro."" J Plant Res 115(1117): 55-57."
Incubator,,,Petri,9 cm,Filter paper,"Zhu, J., et al. (2005). ""[Effects of polyethylene glycol (PEG)-simulated drought stress on Pinus sylvestris var. mongolica seed germination on sandy land]."" Ying Yong Sheng Tai Xue Bao 16(5): 801-804."
Incubator,,,Petri,9 cm,Filter paper,"Zhu, J., et al. (2017). ""Effects of drought stresses induced by polyethylene glycol on germination of Pinus sylvestris var. mongolica seeds from natural and plantation forests on sandy land."" Journal of Forest Research 11(5): 319-328."
Incubator,,,,,Vermiculite,"Zitnik, S. H., D. E.; Kraigher, H. (1999). ""Reduced germination is associated with loss of phytic acid in stored seeds of sessile oak (Quercus petraea (Matt.) Liebl.)."" Phyton-Annales Rei Botanicae 39(4): 275-280."
Incubator,10% sodium hypochlorite (5 min) and then treated with fungicide,,Petri,,Agar,"Zuloaga-Aguilar, S., et al. (2010). ""Effect of heat shock on germination of 23 plant species in pine - oak and montane cloud forests in western Mexico."" International Journal of Wildland Fire 19(6): 759-773."
